ip,cpf_acessado,tipo_requisicao,data_hora
192.168.0.2,10000000034,Consulta Pedido,2025-06-14 20:57:38
172.16.0.10,10000000034,Consulta Pedido,2025-06-08 18:17:08
203.0.113.1,10000000012,Consulta CPF,2025-06-15 11:37:33
10.0.0.6,10000000016,Consulta CPF,2025-06-08 16:57:16
172.16.0.10,10000000007,Consulta Pedido,2025-06-11 21:22:36
10.0.0.6,10000000037,Consulta Pedido,2025-06-11 04:31:49
192.168.0.1,10000000014,Consulta CPF,2025-06-15 04:41:29
10.0.0.6,10000000041,Consulta CPF,2025-06-09 21:16:45
10.0.0.6,10000000027,Consulta CPF,2025-06-08 23:51:52
10.0.0.6,10000000027,Alteração Endereço,2025-06-10 00:25:15
192.168.0.2,10000000015,Consulta CPF,2025-06-11 18:33:55
172.16.0.10,10000000042,Alteração Endereço,2025-06-09 14:16:00
10.0.0.5,10000000035,Consulta CPF,2025-06-12 21:29:15
10.0.0.6,10000000016,Alteração Endereço,2025-06-12 09:17:21
10.0.0.5,10000000007,Alteração Endereço,2025-06-12 11:13:59
10.0.0.6,10000000002,Consulta CPF,2025-06-11 19:06:13
172.16.0.10,10000000004,Consulta Pedido,2025-06-09 21:20:03
172.16.0.10,10000000032,Alteração Endereço,2025-06-15 02:10:19
10.0.0.5,10000000025,Consulta Pedido,2025-06-11 01:44:05
10.0.0.6,10000000015,Consulta Pedido,2025-06-08 19:25:41
192.168.0.2,10000000029,Alteração Endereço,2025-06-12 21:56:56
192.168.0.2,10000000011,Consulta CPF,2025-06-13 20:26:29
203.0.113.1,10000000046,Alteração Endereço,2025-06-10 22:53:32
192.168.0.2,10000000011,Alteração Endereço,2025-06-11 04:38:46
10.0.0.6,10000000017,Consulta Pedido,2025-06-13 03:33:00
172.16.0.10,10000000021,Consulta Pedido,2025-06-09 21:36:57
172.16.0.10,10000000045,Consulta Pedido,2025-06-14 05:57:50
192.168.0.2,10000000003,Alteração Endereço,2025-06-14 23:32:16
10.0.0.5,10000000008,Consulta CPF,2025-06-15 06:22:48
10.0.0.5,10000000029,Consulta CPF,2025-06-10 18:35:28
192.168.0.2,10000000033,Consulta Pedido,2025-06-11 17:14:28
172.16.0.10,10000000011,Consulta CPF,2025-06-08 16:41:36
192.168.0.2,10000000004,Consulta CPF,2025-06-10 13:06:58
192.168.0.1,10000000024,Consulta Pedido,2025-06-10 17:37:25
172.16.0.10,10000000032,Alteração Endereço,2025-06-14 02:45:21
203.0.113.1,10000000021,Alteração Endereço,2025-06-09 06:14:45
192.168.0.1,10000000038,Consulta CPF,2025-06-13 05:06:36
10.0.0.6,10000000043,Consulta CPF,2025-06-14 23:45:08
10.0.0.5,10000000030,Alteração Endereço,2025-06-15 09:08:56
10.0.0.5,10000000032,Consulta Pedido,2025-06-14 21:05:26
192.168.0.2,10000000025,Consulta CPF,2025-06-11 17:53:08
203.0.113.1,10000000018,Consulta CPF,2025-06-14 01:00:46
10.0.0.5,10000000018,Consulta Pedido,2025-06-15 06:52:33
10.0.0.6,10000000029,Alteração Endereço,2025-06-14 03:52:01
203.0.113.1,10000000031,Alteração Endereço,2025-06-12 12:14:25
192.168.0.2,10000000036,Alteração Endereço,2025-06-12 18:57:32
172.16.0.10,10000000047,Consulta Pedido,2025-06-10 03:49:14
192.168.0.2,10000000032,Consulta CPF,2025-06-12 13:00:56
10.0.0.6,10000000012,Consulta CPF,2025-06-08 23:36:53
10.0.0.5,10000000030,Consulta Pedido,2025-06-15 03:33:51
10.0.0.6,10000000050,Alteração Endereço,2025-06-13 07:25:01
10.0.0.6,10000000040,Consulta Pedido,2025-06-13 15:54:58
192.168.0.2,10000000040,Alteração Endereço,2025-06-11 11:27:30
203.0.113.1,10000000018,Alteração Endereço,2025-06-08 21:05:19
172.16.0.10,10000000024,Consulta CPF,2025-06-12 17:14:49
172.16.0.10,10000000034,Consulta CPF,2025-06-13 03:02:27
192.168.0.2,10000000037,Consulta CPF,2025-06-09 05:37:06
192.168.0.1,10000000033,Consulta Pedido,2025-06-11 06:50:24
203.0.113.1,10000000019,Alteração Endereço,2025-06-10 17:32:57
203.0.113.1,10000000006,Consulta Pedido,2025-06-12 10:56:04
203.0.113.1,10000000015,Alteração Endereço,2025-06-09 20:10:10
192.168.0.2,10000000019,Alteração Endereço,2025-06-08 20:41:53
